strategy,concurrency,t_ms,pooled_in_use,pooled_size,pooled_available,requests_waiting,pg_backends,pg_active,pg_idle,pg_idle_in_tx
single_saver_shared_pool,1,0.05,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,8.84,1,4,3,0,4,1,3,0
single_saver_shared_pool,1,15.82,1,4,3,0,4,1,3,0
single_saver_shared_pool,1,35.75,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,52.42,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,67.5,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,79.77,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,98.07,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,113.22,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,131.41,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,146.58,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,162.29,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,170.66,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,192.27,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,205.8,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,221.63,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,236.76,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,249.99,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,261.55,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,268.73,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,279.78,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,297.79,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,310.02,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,325.63,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,341.16,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,356.83,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,370.72,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,386.01,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,400.93,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,419.08,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,434.6,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,449.41,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,465.15,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,480.93,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,496.22,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,509.99,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,526.02,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,533.03,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,541.73,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,552.39,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,568.25,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,583.95,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,599.39,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,614.89,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,630.35,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,645.61,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,661.3,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,673.95,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,689.26,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,704.2,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,719.57,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,734.59,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,750.66,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,766.63,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,781.82,0,4,4,0,4,0,4,0
single_saver_shared_pool,1,788.32,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,0.05,0,4,4,0,4,1,3,0
single_saver_shared_pool,5,8.3,1,4,3,0,4,1,3,0
single_saver_shared_pool,5,15.75,1,4,3,0,4,1,3,0
single_saver_shared_pool,5,26.61,0,4,4,0,4,1,3,0
single_saver_shared_pool,5,34.42,0,4,4,0,4,1,3,0
single_saver_shared_pool,5,42.4,0,4,4,0,4,1,3,0
single_saver_shared_pool,5,50.56,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,56.68,1,4,3,0,4,1,3,0
single_saver_shared_pool,5,63.24,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,70.31,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,76.82,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,92.82,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,111.57,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,129.59,0,4,4,0,4,0,4,0
single_saver_shared_pool,5,143.36,0,4,4,0,4,0,4,0
